1,2,3,4,5,6
236373,165,281214,,,
236431,166,281219,,,
236495,172,281258,,,
236479,178,281172,,,
236510,184,281194,,,
236361,189,281006,,,
236218,191,280947,,,
236135,193,280866,,,
236043,195,280872,,,
235979,195,280841,,,
235965,195,280826,,,
235972,194,280882,,,
235975,194,280887,,,
236010,196,280912,,,
236036,196,280944,,,
236067,194,280976,,,
236137,194,280995,,,
236172,194,281019,,,
236242,195,281065,,,
236300,194,281074,,,
236366,193,281104,,,
236399,192,281079,,,
236421,188,281111,,,
236449,185,281102,,,
236554,176,281192,,,
236630,169,281238,,,
236712,165,281294,,,
236771,166,281300,,,
236713,165,281209,,,
236541,166,281063,,,
236400,165,280983,,,
236306,165,280920,,,
236215,166,280885,,,
236200,165,280904,,,
236184,165,280900,,,
236160,166,280894,,,
236153,166,280906,,,
236141,165,280906,,,
236196,166,280900,,,
236206,166,280960,,,
236243,166,280971,,,
236295,166,281035,,,
236325,165,281020,,,
236391,166,281019,,,
236411,166,281035,,,
236449,167,281075,,,
236517,166,281111,,,
236552,166,281112,,,
236616,165,281160,,,
236681,166,281173,,,
236716,166,281187,,,
236584,166,281072,,,
236457,166,280974,,,
236352,165,280938,,,
236334,165,280956,,,
236235,167,280917,,,
236181,168,280900,,,
236171,173,280869,,,
236110,180,280823,,,
236114,186,280784,,,
236148,192,280837,,,
236217,195,280897,,,
236277,196,280967,,,
236365,194,281002,,,
236385,194,281034,,,
236462,196,281051,,,
236533,198,281082,,,
236568,198,281133,,,
236679,196,281159,,,
236738,197,281203,,,
236815,197,281211,,,
236879,199,281243,,,
236952,199,281304,,,
236954,199,281294,,,
236851,198,281140,,,
236678,197,281024,,,
236523,196,280913,,,
236413,194,280847,,,
236289,188,280796,,,
236199,178,280773,,,
236292,171,280907,,,
236328,166,280952,,,
236316,167,280975,,,
236289,166,280973,,,
236312,166,280963,,,
236308,165,280979,,,
236325,166,280984,,,
236372,167,281016,,,
236437,166,281023,,,
236470,167,281064,,,
236496,166,281069,,,
236553,166,281089,,,
236604,166,281106,,,
236670,167,281136,,,
236730,166,281162,,,
236793,165,281182,,,
236812,165,281196,,,
236825,167,281158,,,
236635,167,281026,,,
236487,166,280899,,,
236359,166,280842,,,
236264,166,280768,,,
236151,165,280753,,,
236131,166,280793,,,
